command,mean,stddev,median,user,system,min,max
baseline,3.8683434740000004,0.18507655960503028,3.9495712402,3.9650165,0.11621839999999999,3.5520694902,4.0009561572
s03_release2,1.12213622324,0.12905834226636967,1.07248309864,1.0080623199999998,0.0331824,1.05619459864,1.35254676464
s02_release2,1.1566331492,0.06251709793149701,1.1277916656,1.0676545999999998,0.03194918000000001,1.1227327496,1.2679269986
s01_release2,1.1444040172199998,0.07306485719292845,1.11486125062,1.0624518799999998,0.03229988,1.10663329262,1.27489020862
s04_release2,0.5959059258000001,0.07141707598807055,0.5644535428,1.0783311000000002,0.02929946,0.5606783338000001,0.7235069178000001
s04_release2,0.32470212658,0.08298145557062603,0.28748007698,1.0945422999999999,0.03855206,0.28689928498,0.47313965998
s04_release2,0.18045205924000002,0.06917520921163726,0.14994630024,1.10460158,0.043593999999999994,0.14831709224,0.30418925924
s04_release2,0.1677421459,0.0871049951047199,0.13478748810000002,1.26364128,0.05636574,0.11875069610000001,0.3225417791
s04_release2,0.15616773558,0.06808214435034224,0.12407206078,1.29898454,0.05727277999999999,0.11761985178,0.27661060178
s04_release2,0.15227879526,0.05921902452417612,0.13154978666,1.26923386,0.05810638,0.11765124466000002,0.25759737066
s04_release2,0.16083207444,0.07546052064448967,0.12708125744,1.3029328599999999,0.05608592,0.12387738244000002,0.29575271644
s06_release2,0.06437021512,0.13310718314621026,0.004920232319999999,0.00168226,0.00306778,0.003801898319999999,0.30247077332000005
