command,mean,stddev,median,user,system,min,max
baseline,180.57923191674,2.158022006827107,179.81850803294,174.67964608000003,4.10119214,178.26113107494,183.77965761694
s01_release2,76.65507166338,0.3272927871417454,76.78579048838,73.94015598000001,2.3156422799999996,76.20235836338,77.02916573838
s02_release2,78.40714333161999,0.570554074069815,78.04124250641999,73.94326572,2.75808132,77.93470567342,79.18419367342
s03_release2,75.0166520248,0.42079019524053085,75.06881010000001,70.5751375,2.7571604799999996,74.550935225,75.43924764100001
s04_release2,13.69878630362,0.48020325768358,13.570093378420001,133.88706792,7.88640676,13.29606779542,14.48625579542
s04_release2,11.86980883886,0.35904363139996337,11.96201738846,107.90717075999999,6.58245536,11.304171263459999,12.21411351446
s05_release2,11.406832776280002,0.288288976452409,11.56011176828,102.912838,6.89019538,11.08798255928,11.69425897628
s05_release2,11.53763739842,0.7305314588489995,11.34298067362,104.45480969999998,6.546646419999999,10.65770371462,12.61898204862
s06_release2,11.099358115860003,0.229132408275586,11.17567232446,108.76319486,1.46413452,10.82264374046,11.31747740746
s06_release2,11.10859804404,0.32657079455676435,11.011815010440001,110.46457381999998,1.4599305599999999,10.685137177440001,11.466986010440001
s06_release2,11.718370435539999,0.5364830381157383,11.54556332714,124.86690708,3.4149396199999997,11.042530035139999,12.32846624414
s06_release2,8.6059103059,0.3370636893853281,8.6950274139,83.2559506,3.5250461599999996,8.0180317059,8.838078121899999
s06_release2,7.8140928915800005,0.21819953330070768,7.76788116698,74.17653987999999,3.7964369399999995,7.56804791698,8.15872241598
s06_release2,7.728971103639999,0.23352081404736474,7.64053859544,71.26577769999999,4.290274999999999,7.50112559544,8.09633009544
s06_release2,8.831663555839999,0.41525977351937093,8.86440465504,71.31107502,7.861337519999999,8.209852656039999,9.329426031039999
s06_release2,7.5442349990799995,0.28023144638676367,7.51463959088,75.31474896,1.61469518,7.29994671588,7.99270221588
s06_release2,7.20510711218,0.7083321712455721,7.28425737878,75.87138968000001,1.5463958000000002,6.20027825378,8.177275211780001
s07_release2,4.79837566916,0.14739436782061638,4.7842229107600005,53.860739839999994,1.45743754,4.67681941076,5.04417653576
s07_release2,4.846117027,0.1436469161253007,4.821879669,54.293192499999996,1.4478272800000003,4.674926002,5.0033242520000005
s07_release2,4.825841592559999,0.12208194980979807,4.83085472576,54.497871520000004,1.40134494,4.6744206007599995,4.9964793927599995
s07_release2,13.51592594696,0.1393194878534861,13.48635861336,59.22278497999999,98.19690017999999,13.40108698836,13.756301238359999
s07_release2,5.02163298844,0.0663001464695028,4.99849435504,55.13653231999999,1.17436168,4.96015256304,5.1102465640400005
s07_release2,4.83049217916,0.07020850775439602,4.81063252896,54.5902033,1.45825676,4.75830544596,4.94257265496
s07_release2,4.7893145949200004,0.1441824033670534,4.73553277832,53.758613819999994,1.4405247600000002,4.6854582783200005,5.03899157032
s08_release2,4.36307020814,0.0929119349142155,4.33467155794,48.84566662,1.4647215,4.27816501594,4.51696134994
s08_release2,4.4702001316,0.17362589027381098,4.4861491319999995,49.10657356,1.4612918799999999,4.3034352149999995,4.717013006999999
s08_release2,4.75311230666,0.296127743850402,4.6832474482599995,49.556232599999994,1.5371295200000001,4.46015065626,5.253401740259999
s08_release2,4.91343291904,0.24536344314048064,4.85760998544,49.913396639999995,1.6657490600000002,4.63842977744,5.28198623544
s08_release2,4.5558191175200005,0.19774382874022606,4.4908233091200005,50.18444488,1.4939799399999998,4.41655260112,4.90021343412
s08_release2,4.377848545099999,0.1227202538427648,4.3534166367,49.21047771999999,1.4868130999999998,4.2422020947,4.5068140116999995
s08_release2,2.66999752244,0.12612503994337312,2.6121899224400003,28.802385499999996,1.52010604,2.60575321444,2.89524708944
s08_release2_1thread,24.3469360751,0.1331726595909782,24.2697036667,22.953627840000003,0.87443194,24.2678214587,24.5761511257
go_r9,3.1231557506199996,0.030737800128229104,3.1139740088199996,31.0347111,1.7731211999999998,3.09178400882,3.1693554258199996
go_ay_best,2.74515594918,0.01533450785257713,2.7484446655799997,27.77434242,1.4657467599999998,2.7259082495799998,2.7634019995799997
